Année,Prix,Auteur,Titre,prix_19_23
2021,Prix Femina des lycéens,Ananda Devi,Le rire des déesses,1
2021,Prix Goncourt,Mohamed Mbougar sarr,La Plus Secrète Mémoire des hommes,1
2021,Prix Goncourt du premier roman,Emilienne Malfatto,Que sur toi se lamente le Tigre,1
2021,Prix Goncourt de la nouvelle,Shmuel T. Meyer,Et la guerre est finie...,1
2021,Prix Goncourt de la biographie,Pauline Dreyfus,Paul Morand,1
2021,Prix Médicis,Christine Angot,Le Voyage dans l'Est,1
2021,Prix Médicis étranger,Jonas Hassen Khemiri,La Clause paternelle,1
2021,Prix Médicis essai,Jakuta Alikavazovic,Comme un ciel en nous,1
2021,Prix Renaudot,Amélie Nothomb,Premier Sang,1
2021,Grand prix du roman de l'Académie française,François-Henri Désérable,Mon maître et mon vainqueur,1
2021,Prix Interallié,Mathieu Palain,Ne t'arrête pas de courir,1
2021,Prix Jean-Freustié,Sébastien Lapaque,Ce monde est tellement beau,1
2021,Prix du Livre Inter,Hugo Lindenberg,Un jour ce sera vide,1
2021,Prix Première Plume,Alain Mascaro,Avant que le monde ne se ferme,1
2021,Prix des Deux Magots,Emmanuel Ruben,Sabre,1
2021,Prix de Flore,Abel Quentin,Le Voyant d'Étampes,1
2021,Prix des libraires,Miguel Bonnefoy,Héritage,1
2021,Prix du roman Fnac,Jean-Baptiste Del Amo,Le Fils de l'homme,1
2021,Grand prix RTL-Lire,Jean-Baptiste Andrea,Des diables et des saints,1
2021,Grand prix des lectrices de Elle,Colum McCann,Apeirogon,1
2021,L'Accident de chasse,David Carson,L'Accident de chasse,1
2021,Grand prix Roman de l'été de Femme Actuelle,Martine Duchesne,Pour exister encore,1
2021,Prix Russophonie,Yves Gauthier,Dersou Ouzala,1
2021,Feuille d'or de la ville de Nancy,Isabelle Sorente,La femme et l'oiseau,1
2021,Prix Heredia,Joël Vernet,L’oubli est une tache dans le ciel,1
2021,Prix Orange du Livre,Constance Joly,Over the Rainbow,1
2021,Prix Terre de France,Éric Fottorino,Mohican,1
2021,Prix Amerigo-Vespucci,Luc Bronner,"Chaudun, la montagne blessée",1
2021,Prix Amerigo-Vespucci Jeunesse,Pierre Ducrozet,Je suis au monde,1
2021,Prix Amerigo-Vespucci de la BD géographique,Gaspard d’Allens,Cent mille ans,1
2022,Prix Femina,Claudie Hunzinger,Un chien à ma table,1
