video_id,title,description,published_at,channel_title
M-EOyHhZu2A,LION SEPTEMBRE 2023 I Vous ouvrez un nouveau livre après cette libération,TITRE : LION SEPTEMBRE 2023 I Vous ouvrez un nouveau livre après cette libération Hello Hello J'espère que vous allez ...,2023-08-19T19:02:05Z,Les intuitions de Jessica 
MPsO5YmWOIY,nouveau livre disponible sur lulu.com,,2023-08-24T17:47:10Z,MaximeV
Zjjlu2srCNQ,Mon nouveau livre « Faites mieux ! » est dès maintenant en précommande !,Jean-Luc Mélenchon dévoile son nouveau livre « Faites mieux ! » qui paraîtra le 28 septembre 2023 et à retrouver dès ...,2023-09-19T16:02:10Z,JEAN-LUC MÉLENCHON
wvDRmkRlgLk,Alexandre Jardin nous raconte l&#39;écriture de son nouveau livre &quot;Frères&quot;,"Dans son nouveau livre, ""Frères"", Alexandre Jardin bouleverse pour toujours sa relation à l'écriture. Il s'y confronte à la vérité la ...",2023-09-06T08:00:24Z,Editions Albin Michel
WMsM0eVTHhE,J&#39;ai réitéré l&#39;expérience avec un nouveau livre entre temps 🥰,booktube #lecture #romance.,2023-03-29T17:00:26Z,Ludivine Zeniah
to3dxv7ltsk,ACTION nouveau livre coloriage 2023 🤩 #Action #coloriage #loisirs créatifs #nouveau,Dans cette vidéo je vous présente des coloriage de la marque Craft Sensation qui sont actuellement en vente chez Action.,2023-02-07T21:06:19Z,Les loisirs créatifs d'Anaïs
qZmogMLZZOo,Le siècle du son - nouveau livre de Michaël Boumendil,"Le siècle du son, nouveau livre de Michaël Boumendil Paru le 29 juin 2023 aux éditions Débats Publics ---- De quoi ça parle ?",2023-09-25T15:12:07Z,Débats Publics tv
2H6wmCb97vQ,Alerte nouveau livre !!!!,Voici un nouveau livre diponible sur wattpad !!!! ⚡️ Instagram: Cam_eit YouTube: Cam_eit ✨ Wattpad: Cam_eit ...,2023-12-30T16:23:51Z,cam_eit
nD5lb4N_PeQ,Marcher par l&#39;Esprit - Mon nouveau livre,Pour commander le livre : https://www.hmtransformation.com/livres.,2023-01-12T13:19:35Z,Thierry Kopp
FXxLtc4_KvU,Nouveau livre de droit anglais dispo chez LGDJ,Memento Gualino de Droit anglais 2023 Merci Nathanaël pour la vidéo !!,2023-10-27T10:00:11Z,Dictionnaire juridique en vidéo
