,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
1590,Rentrée 2023,pour qui s'avance dans la nuit,1.0,,,,,,,,,,,,,,,,Claire Conruyt
1591,Janvier 2023,pour rien au monde,1.0,,,,,,,,,,,,,,,,Ken Follett
1592,Janvier 2023,pour une heure oubliée,1.0,,,,,,,,,,,,,,,,Frédéric Perrot
1593,Octobre 2021,pourquoi tu danses quand tu marches ?,1.0,,,,,,,,,,,,,,,,Abdourahman A. Waberi
1594,Découverte Rentrée 2022,poussière dans le vent,1.0,,,,,,,,,,,,,,,,Leonardo Padura
1595,Janvier 2023,premier sang,1.0,0.0,0.0,0.0,,,0.0,2021.0,Prix Renaudot,1.0,,,,0.0,0.0,0.0,Amélie Nothomb
1596,Août 2021,première personne du singulier,1.0,,,,,,,,,,,,,,,,Patrice Franceschi
1597,Septembre 2021,prendre un enfant par la main,1.0,,,,,,,,,,,,,,,,François-Xavier Dillard
1598,Septembre 2023,priya : la fille du boucher,1.0,,,,,,,,,,,,,,,,Marie Capron
1599,Novembre 2023,prière pour les voyageurs,1.0,,,,,,,,,,,,,,,,Ruchika Tomar
1600,Août-Octobre 2023,"proust, roman familial",1.0,0.0,0.0,0.0,,,0.0,2023.0,Prix Médicis essai,1.0,,,,0.0,0.0,0.0,Laure Murat
1601,Janvier 2021,préférer l'hiver,1.0,,,,,,,,,,,,,,,,Aurélie Jeannin
1602,Février 2021,prémices de la chute,1.0,,,,,,,,,,,,,,,,Frédéric Paulin
1603,Août-Octobre 2023,psychopompe,1.0,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,Amélie Nothomb
1604,Rentrée 2023,père éperdu,1.0,,,,,,,,,,,,,,,,Daniel Gustafsson
1605,Octobre 2022,qi,1.0,,,,,,,,,,,,,,,,Christina Dalcher
1606,Octobre 2022,quality land,1.0,,,,,,,,,,,,,,,,Marc-Uwe Kling
1607,Avril 2023,quand je reviendrai,1.0,,,,,,,,,,,,,,,,Marco Balzano
1610,Rentrée 2022,quand tu écouteras cette chanson,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix Décembre,1.0,,,,0.0,0.0,0.0,Lola Lafon
1611,Découverte Rentrée 2022,"quatre heures, vingt-deux minutes et dix-huit secondes",1.0,,,,,,,,,,,,,,,,Lionel Shriver
1612,Août-Octobre 2023,que ferais-je à ma place ?,1.0,,,,,,,,,,,,,,,,Charly Delwart
1614,Novembre 2023,que sommes-nous ?: essais sur la condition humaine,1.0,,,,,,,,,,,,,,,,Siri Hustvedt
1616,Mai 2021,quelqu'un de bien,1.0,,,,,,,,,,,,,,,,Françoise Bourdin
1617,Rentrée 2022,quelque chose à te dire,1.0,,,,,,,,,,,,,,,,Carole Fives
1619,Octobre 2021,qui ne tente rien,1.0,,,,,,,,,,,,,,,,Jeffrey Archer
1620,Rentrée 2022,qui sait,1.0,,,,,,,,,,,,,,,,Pauline Delabroy-Allard
1621,Novembre 2023,"raphaël, la vérité perdue",1.0,,,,,,,,,,,,,,,,Francesco Fioretti
1622,Février 2023,rassemblez-vous en mon nom,1.0,,,,,,,,,,,,,,,,Maya Angelou
1623,Octobre 2022,recalé,1.0,,,,,,,,,,,,,,,,Michael Hjorth
1624,Mars 2021,regarde,1.0,,,,,,,,,,,,,,,,Hervé Commère
